name;TIPOLOGIA;OID_;PARK_ID;area;Centroid_X;Centroid_Y;Perimeter;id;long;lat
Jardim Adão Barata;Espaços Verdes Vizinhança;28;36;16566.9700000000;-9.2000000000;38.7600000000;968.1490000000;Lx056;-9.1960212902;38.7588703493
Quinta Pedagógica dos Olivais;;29;37;17408.8400000000;-9.1100000000;38.7600000000;835.0220000000;Lx057;-9.1118397802;38.7631058698
Quinta Pedagógica dos Olivais;;29;37;17408.8400000000;-9.1100000000;38.7600000000;835.0220000000;Lx057;-9.1112293727;38.7626444082
Parque do Vale do Silêncio;;30;38;82599.3800000000;-9.1200000000;38.7700000000;1685.2600000000;Lx058;-9.1180149187;38.7671327738
Jardim do Palacio Nacional de Belém;;31;39;19540.7000000000;-9.2000000000;38.7000000000;947.2850000000;Lx059;-9.2018295976;38.6979038533
Jardim do Palacio Nacional de Belém;;31;39;19540.7000000000;-9.2000000000;38.7000000000;947.2850000000;Lx059;-9.2018357462;38.6979181883
Jardim do Palacio Nacional de Belém;;31;39;19540.7000000000;-9.2000000000;38.7000000000;947.2850000000;Lx059;-9.2007846209;38.6982972285
Parque José Gomes Ferreira - Mata de Alvalade;;32;40;108794.8300000000;-9.1300000000;38.7600000000;1913.5200000000;Lx060;-9.1349107825;38.7588956152
Parque José Gomes Ferreira - Mata de Alvalade;;32;40;108794.8300000000;-9.1300000000;38.7600000000;1913.5200000000;Lx060;-9.1349931430;38.7589493180
Parque José Gomes Ferreira - Mata de Alvalade;;32;40;108794.8300000000;-9.1300000000;38.7600000000;1913.5200000000;Lx060;-9.1325661695;38.7596888971
Viveiro da Quinta do Beirão;Viveiro;0;0;3779.5100000000;-9.1000000000;38.7400000000;268.4600000000;Lx010;-9.1034181030;38.7418096961
Palácio da Ajuda;;33;42;10373.1200000000;-9.2000000000;38.7100000000;1139.6600000000;Lx061;-9.1977958950;38.7069115819
Palácio da Ajuda;;33;42;10373.1200000000;-9.2000000000;38.7100000000;1139.6600000000;Lx061;-9.1971325635;38.7073868247
Palácio da Ajuda;;33;42;10373.1200000000;-9.2000000000;38.7100000000;1139.6600000000;Lx061;-9.1963361911;38.7074233825
Palácio da Ajuda;;33;42;10373.1200000000;-9.2000000000;38.7100000000;1139.6600000000;Lx061;-9.1957076332;38.7074909471
Palácio da Ajuda;;33;42;10373.1200000000;-9.2000000000;38.7100000000;1139.6600000000;Lx061;-9.1958956230;38.7077161084
Palácio da Ajuda;;33;42;10373.1200000000;-9.2000000000;38.7100000000;1139.6600000000;Lx061;-9.1969100635;38.7078490016
Jardim Augusto Gil / Jardim da Graça;;34;43;1335.2600000000;-9.1300000000;38.7200000000;143.1960000000;Lx062;-9.1309010820;38.7160393944
Miradouro Nossa Senhora do Monte;;35;44;1068.0700000000;-9.1300000000;38.7200000000;156.5350000000;Lx063;-9.1327024173;38.7191339468
Jardim Praça de Damão;;0;0;3701.2200000000;-9.2200000000;38.7000000000;243.1660000000;Lx011;-9.2158131358;38.6988138847
Jardim Garcia de Orta - Parque das Nações;;36;46;17525.9100000000;-9.0900000000;38.7700000000;1412.5600000000;Lx064;-9.0920977795;38.7696371251
Jardim Garcia de Orta - Parque das Nações;;36;46;17525.9100000000;-9.0900000000;38.7700000000;1412.5600000000;Lx064;-9.0920503100;38.7702847814
